ул. Карла Либкнехта, д. 122
ул. Карла Маркса, д. 21
ул. Каролинская, д. 2
ул. Карпова, д. 14
ул. Каховская, д. 17
ул. Каштановая, д. 1
ул. Кедышко, д. 8А
ул. Киевская, д. 5
ул. Киреева, д. 11
ул. Киреенко, д. 7
ул. Кирилла Туровского, д. 18
ул. Кирилла и Мефодия, д. 4
ул. Кирова, д. 4
ул. Киселёва, д. 16
ул. Клары Цеткин, д. 18
ул. Клецкая, д. 27
ул. Клубный проезд, д. 1
ул. Клумова, д. 3
ул. Кнорина, д. 16
ул. Кобринская, д. 2
ул. Козлова, д. 2
ул. Козыревская, д. 33
ул. Колесникова, д. 15
ул. Коллективный проезд, д. 1
ул. Коллекторная, д. 11
ул. Кольцова, д. 32
ул. Коммунистическая, д. 3
ул. Комсомольская, д. 15
ул. Коржа, д. 11А
ул. Корженевского, д. 18А
ул. Корицкого, д. 1
ул. Короленко, д. 14
ул. Короля, д. 7
ул. Короткевича, д. 13
ул. Корш-Саблина, д. 32
ул. Космонавтов, д. 29
ул. Котовского, д. 15
ул. Крайняя, д. 1А
ул. Красина, д. 167
ул. Красная, д. 14
ул. Красноармейская, д. 21 к1
ул. Краснозвёздная, д. 18
ул. Краснослободская, д. 17
ул. Кривичская, д. 1
ул. Кропоткина, д. 31
ул. Крупской, д. 21
ул. Крыловича, д. 1
ул. Кубанская, д. 26
ул. Кузьмы Минина, д. 23
ул. Кузьмы Чорного, д. 31
ул. Куйбышева, д. 16
ул. Кулешова, д. 12
ул. Кульман, д. 37
ул. Кунцевщина, д. 37
ул. Куприянова, д. 2А
ул. Курсанта Гвишиани, д. 7
ул. Курчатова, д. 1
ул. Кутузова, д. 15
ул. Лазарева, д. 38
ул. Лазо, д. 14
ул. Ландера, д. 22
ул. Левкова, д. 9
ул. Лейтенанта Кижеватова, д. 88
ул. Ленина, д. 15
ул. Ленинградская, д. 1
ул. Леонида Беды, д. 4
ул. Лермонтова, д. 17
ул. Леси Украинки, д. 22
ул. Летняя, д. 9
ул. Лещинского, д. 1
ул. Либаво-Роменская, д. 45
ул. Лидская, д. 14
ул. Лизы Чайкиной, д. 14
ул. Лилии Карастояновой, д. 15
ул. Липковская, д. 4
ул. Липовая, д. 1
ул. Литературная, д. 16
ул. Лобанка, д. 107
ул. Ложинская, д. 22
ул. Ломоносова, д. 3
ул. Луговая, д. 29
ул. Лукьяновича, д. 51
ул. Лучайская, д. 18
ул. Льва Сапеги, д. 5
ул. Льва Толстого, д. 10
ул. Люцинская, д. 9
ул. Магнитная, д. 31
ул. Мазурова, д. 2
ул. Макаёнка, д. 12
ул. Максима Богдановича, д. 53
ул. Максима Горецкого, д. 10
ул. Максима Танка, д. 34 к2
ул. Малая, д. 35
ул. Малинина, д. 26А
ул. Малый Тростенец, д. 22
ул. Марата, д. 19
ул. Марьевская, д. 11
ул. Масюковщина, д. 2А к3
ул. Матросова, д. 10
ул. Матусевича, д. 75
ул. Машинистов, д. 56А
ул. Машиностроителей, д. 5Б
ул. Маяковского, д. 15
ул. Мележа, д. 1
ул. Мельникайте, д. 2
ул. Менделеева, д. 4
ул. Мержинского, д. 2
ул. Миколаевская, д. 7
ул. Минск, д. 8
ул. Мирная, д. 1
ул. Мирошниченко, д. 1
ул. Михайлова, д. 1
ул. Михаловская, д. 5Л/6
ул. Михася Лынькова, д. 57
ул. Мичурина, д. 7
ул. Могилевская, д. 49
ул. Можайского, д. 70
ул. Мозырский проезд, д. 12
ул. Монтажников, д. 9
ул. Московская, д. 13
ул. Мясникова, д. 78
ул. Мястровская, д. 1
ул. Нагорная, д. 12
ул. Надеждинская, д. 17
ул. Наклонная, д. 1
ул. Налибокская, д. 31
ул. Наполеона Орды, д. 8
ул. Народная, д. 36
ул. Нарочанская, д. 17
ул. Натуралистов, д. 2
ул. Нахимова, д. 4
ул. Неждановой, д. 25
ул. Некрасова, д. 73
ул. Немига, д. 30
ул. Несвижская, д. 1
ул. Нестерова, д. 51
ул. Нефтяная, д. 10
ул. Никитина, д. 36
ул. Никифорова, д. 10
ул. Новаторская, д. 63
ул. Новаторский проезд, д. 1
ул. Новгородская, д. 20
ул. Новинковская, д. 1
ул. Нововиленская, д. 6
ул. Новоуфимская, д. 91
ул. Нёманская, д. 22
ул. Обойная, д. 12
ул. Огарёва, д. 7
ул. Огинского, д. 6
ул. Одесская, д. 40
ул. Одинцова, д. 113
ул. Одоевского, д. 58/3
ул. Озёрная, д. 19
ул. Окрестина, д. 16
ул. Октябрьская, д. 5
ул. Олега Кошевого, д. 10
ул. Олешева, д. 2
ул. Ольшанская, д. 3
ул. Ольшевского, д. 24
ул. Омельянюка, д. 20
ул. Орджоникидзе, д. 32
ул. Орловская, д. 88
ул. Оршанская, д. 33
ул. Освобождения, д. 11
ул. Осенняя, д. 16
ул. Осипенко, д. 2
ул. Осиповичская, д. 7
ул. Основателей, д. 24
ул. Острожских, д. 12
ул. Острошицкая, д. 23
ул. Охотская, д. 135
ул. Павла Шпилевского, д. 57
ул. Павловского, д. 54
ул. Панфилова, д. 12
ул. Папанина, д. 11
ул. Папернянская, д. 14
ул. Парашютная, д. 6
ул. Парниковая, д. 11
ул. Первомайская, д. 28
ул. Передовая, д. 3
ул. Переходная, д. 1
ул. Пермская, д. 51
ул. Петра Глебки, д. 118
ул. Петра Мстиславца, д. 9
ул. Петруся Бровки, д. 4
ул. Пимена Панченко, д. 8
ул. Пинская, д. 39
ул. Пионерская, д. 16
ул. Пирогова, д. 5
ул. Планёрная, д. 15А
ул. Платонова, д. 20
ул. Плеханова, д. 72
ул. Подлесная, д. 69
ул. Подольская, д. 28
ул. Подшипниковый проезд, д. 9
ул. Пожарная, д. 5
ул. Пожарского, д. 17
ул. Полевая, д. 4
ул. Полесская, д. 4
ул. Полиграфическая, д. 21
ул. Полтавская, д. 16
ул. Полярная, д. 14
ул. Пономаренко, д. 43А
ул. Пономарёва, д. 5
ул. Попова, д. 23
ул. Почтовая, д. 14
ул. Привабная, д. 6
ул. Привокзальная площадь, д. 5
ул. Пригородная, д. 69
ул. Прилукская, д. 52
ул. Притыцкого, д. 19А
ул. Прогрессивная, д. 27
ул. Промышленная, д. 2Б
ул. Профсоюзная, д. 19
ул. Прушинских, д. 33
ул. Прямая, д. 24
ул. Псковская, д. 1
ул. Пугачёвская, д. 2
ул. Пулихова, д. 3
ул. Путейская, д. 11
ул. Путилова, д. 1
ул. Пуховичская, д. 20
ул. Рабкоровская, д. 17
ул. Радиальная, д. 13А
ул. Радищева, д. 28
ул. Радужная, д. 17
ул. Разинская, д. 29
ул. Раковская, д. 38
ул. Ратомская, д. 7
ул. Рафиева, д. 16
ул. Революционная, д. 10
ул. Репина, д. 4
ул. Ржавецкая, д. 3
ул. Рижская, д. 26
ул. Рогачёвская, д. 10
ул. Рогачёвский проезд, д. 15
ул. Родниковая, д. 20
ул. Розы Люксембург, д. 108
ул. Романовская Слобода, д. 26
ул. Ромашкина, д. 30
ул. Роменская, д. 12
ул. Ротмистрова, д. 61А
ул. Румянцева, д. 16
ул. Руссиянова, д. 1
ул. Рыбалко, д. 2
ул. Рябинницкая, д. 26
ул. Садовая, д. 20
ул. Сапёров, д. 3
ул. Свердлова, д. 22
ул. Светлая, д. 10
ул. Свислочская, д. 9
ул. Связистов, д. 1
ул. Севастопольская, д. 2А
ул. Седова, д. 1
ул. Седых, д. 38А
ул. Селицкого, д. 71
ул. Семашко, д. 8
ул. Семёнова, д. 20
ул. Сенницкая, д. 98
ул. Серафимовича, д. 2
